Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeLevel,MethodRef,TopicRefs,ConceptRefs,Notes
MDL_RearrangementSmoothing,Pārkārtošanas un izlīdzināšanas modelis,Rearrangement and smoothing model,"Pārkārtošanas nevienādība vienādi/pretēji sakārtotām virknēm un izlīdzināšanas (smoothing) argumenti: ekstrēms sasniedzams, tuvinot mainīgos vienu otram.",Alg,InequalitiesAndEstimates,GR_ADV,MTH_OrderingElements,usedIn:ProvingInequalities;usedIn:ArbitrarySequencesInequalities,TotalOrder;MeanValues,
MDL_SequenceConvergenceModel,Virknes monotonitātes un robežas modelis,Sequence monotonicity and limit model,"Monotona un ierobežota virkne konverģē; robežas atrašana no rekurences $L=f(L)$, virknes uzvedības analīze ilgtermiņā.",Alg,Sequences,GR_ADV,,instanceOf:RealAnalysis;usedIn:Monotonicity,NumberSequence;MonotonicFunction,LV olimpiāžu programmā 2022 robežas NAV iekļautas.
MDL_CauchyTypeFE,Košī tipa funkcionālvienādojumu modelis,Cauchy-type functional equations model,"Vienādojuma $f(x+y)=f(x)+f(y)$ un radniecīgo formu atrisināšana: risinājums uz $\mathbb{Q}$, papildnosacījumi (monotonitāte, nepārtrauktība) pilnam aprakstam.",Alg,FunctionalEquations,GR_ADV,MTH_Substitution,instanceOf:FunctionalEquationsForRealFunctions,CauchyEquation;FunctionalEquationConcept,
MDL_GeneratingFunctionsModel,Ģenerējošo funkciju modelis,Generating functions model,Virknes iekodēšana pakāpju rindā $\sum a_nx^n$; rekurenču risināšana un skaitīšanas identitāšu iegūšana ar reizināšanu un koeficientu salīdzināšanu.,Comb,Sequences,GR_ADV,MTH_PolynomialTransformations,usedIn:MethodOfRecurrentRelations;usedIn:StandardCombinatorialNumbers,RecurrentSequence;BinomialCoefficient,
MDL_ProbabilisticMethodModel,Varbūtiskās metodes modelis,Probabilistic method model,"Objekta eksistences pamatošana, parādot, ka nejauši izvēlēts objekts ar pozitīvu varbūtību (vai vidēji) apmierina prasības; sagaidāmās vērtības linearitāte.",Comb,DataAndProbability,GR_ADV,MTH_ProbabilisticInterpretation,usedIn:CountingObjects;usedIn:DiscreteProbability,ExpectedValue;Probability,
MDL_ExtremalGraphBounds,Ekstremālo grafu novērtējumu modelis,Extremal graph bounds model,"Maksimālais šķautņu skaits grafam bez aizliegtas struktūras (Turāna tipa argumenti, trijstūra brīvi grafi); novērtējumi ar divkāršo skaitīšanu.",Comb,Graphs,GR_ADV,MTH_DoubleCounting,usedIn:Subgraphs;usedIn:GraphProblems,IndependentSetClique;CompleteGraph,
MDL_HallMarriageModel,Holla (kāzu) teorēmas modelis,Hall marriage theorem model,"Pilnīgas pārošanas eksistence divdaļīgā grafā tad un tikai tad, ja katrai daļas apakškopai kaimiņu ir ne mazāk kā pašu; deficīta versijas un sistēmu pārstāvji.",Comb,Graphs,GR_ADV,MTH_GraphModel,usedIn:MathObjectsAsGraphs,MatchingInGraph;BipartiteGraph,
MDL_NimXorModel,Nima spēles un XOR vērtību modelis,Nim game and XOR values model,Nima spēle ar kaudzītēm: zaudējošās pozīcijas raksturo bināro pierakstu XOR summa 0; Sprāga–Grandija vērtību ideja spēļu summām.,Comb,GamesAndProcesses,GR_ADV,,instanceOf:GameModelCreation;usedIn:WinningStrategyCleanProofs,WinningLosingPositions;PositionalSystems,
MDL_FermatEulerTheorems,Mazās Fermā un Eilera teorēmu modelis,Fermat little theorem and Euler theorem model,Kongruences $a^{p-1}\equiv 1\pmod p$ un $a^{\varphi(n)}\equiv 1\pmod n$; lielu pakāpju atlikumu aprēķini un Eilera funkcijas $\varphi$ īpašības.,NT,ModularStructures,GR_ADV,,instanceOf:LittleFermatAndEuler,FermatEulerTheorems;ModularArithmetic,
MDL_ChineseRemainderModel,Ķīniešu atlikumu teorēmas modelis,Chinese remainder theorem model,Kongruenču sistēmas ar savstarpējiem pirmskaitļu moduļiem viennozīmīga atrisināmība; skaitļu konstruēšana ar uzdotiem atlikumiem.,NT,ModularStructures,GR_ADV,,instanceOf:ChineseRemainderTheorem,ChineseRemainderTheorem;ModularArithmetic,
MDL_MultiplicativeOrderModel,Skaitļa kārtas pēc moduļa modelis,Multiplicative order model,"Mazākais $d$ ar $a^d\equiv 1\pmod n$; kārta dala jebkuru eksponentu ar šo īpašību, saikne ar $\varphi(n)$ un periodisko atlikumu virkņu garumiem.",NT,ModularStructures,GR_ADV,,usedIn:LittleFermatAndEuler;usedIn:PeriodicRemainders,MultiplicativeOrder;FermatEulerTheorems,
MDL_LiftingTheExponentModel,Kāpinātāja pacelšanas (LTE) modelis,Lifting the exponent (LTE) model,Lemmas par $v_p(a^n\pm b^n)$ izteikšanu ar $v_p(a\pm b)$ un $v_p(n)$; pielietojumi vienādojumos ar pakāpēm.,NT,ModularStructures,GR_ADV,,instanceOf:LiftingTheExponent,PadicValuation,
MDL_QuadraticResiduesModel,Kvadrātisko atlikumu modelis,Quadratic residues model,"Pilno kvadrātu iespējamie atlikumi pēc moduļa (piem., kvadrāti $\bmod 4$ ir tikai $0,1$); moduļa izvēle, lai izslēgtu vienādojuma atrisinājumus.",NT,ModularStructures,GR_ADV,,usedIn:CongruenceClasses;usedIn:SelectingModule,QuadraticResidues;ModularArithmetic,Pamatforma (kvadrātu atlikumi pēc maza moduļa) parādās arī LV olimpiādēs; pilnā teorija — GR_ADV.
MDL_InfiniteDescentModel,Bezgalīgās nolaišanās modelis,Infinite descent model,"No pieņemta minimālā atrisinājuma konstruē mazāku, iegūstot pretrunu; klasiski pielietojumi vienādojumiem veselos skaitļos.",NT,LogicalStructures,GR_ADV,MTH_InductionInfiniteDescent,instanceOf:MethodOfInfiniteDescent,ProofByContradiction;DiophantineEquation,
MDL_PellEquationModel,Pella vienādojuma modelis,Pell equation model,Vienādojums $x^2-Dy^2=1$: fundamentālais atrisinājums un bezgalīgas atrisinājumu virknes ģenerēšana ar rekurenci.,NT,IntegerRepresentations,GR_ADV,,usedIn:NumTheoryIdentities,PellEquation;RecurrentSequence,
MDL_InversionModel,Inversijas modelis,Inversion model,"Plaknes pārveidojums $P\mapsto P^{\prime}$ ar $OP\cdot OP^{\prime}=r^2$: riņķa līniju un taišņu savstarpēja pāreja, pieskaršanās saglabāšanās; konfigurāciju vienkāršošana.",Geom,Transformations,GR_ADV,,instanceOf:Inversion,Inversion;TangentCircles,
MDL_ComplexNumbersGeometry,Komplekso skaitļu modelis ģeometrijā,Complex numbers in geometry model,"Plaknes punktu identificēšana ar kompleksajiem skaitļiem: pagrieziens kā reizināšana, vienības saknes regulāriem daudzstūriem, konciklitātes kritēriji.",Geom,CoordinatesAndVectors,GR_ADV,MTH_CoordinateMethod,usedIn:GeometricTransformations;usedIn:CoordinateMethod,,solutionConcepts.csv trūkst komplekso skaitļu jēdziena mezgla (ieteikums pievienot).
MDL_BarycentricMassPoints,Masu punktu un smaguma centra modelis,Mass points and barycenter model,"Masu piekārtošana virsotnēm, lai smaguma centrs raksturotu nogriežņu dalījuma attiecības; čevianu krustpunktu un attiecību aprēķini.",Geom,CoordinatesAndVectors,GR_ADV,MTH_MeanWeights,instanceOf:BarycentricCoordinates;usedIn:VectorsMeanValueMethod,Vector,
MDL_EulerPolyhedraModel,Eilera formulas modelis (V−E+F=2),Euler polyhedron formula model,Sakarība $V-E+F=2$ daudzskaldņiem un planāriem grafiem; šķautņu skaita novērtējumi un neiespējamības pierādījumi planaritātei.,Geom,SolidGeometry,GR_ADV,,usedIn:PlanarGraphs;usedIn:SolidGeometry,EulerPolyhedraFormula;PlanarGraph,
